"","X","game_pk","home.TeamID","home_bat_id","home_bat_name","home_pos","home_batting_order","away.TeamID","away_bat_id","away_bat_name","away_pos"
"1",1,718927,"143",607208,"Trea Turner","SS",1,"141",543807,"George Springer","CF"
"2",2,718927,"143",656941,"Kyle Schwarber","DH",2,"141",666182,"Bo Bichette","SS"
"3",3,718927,"143",592663,"JT Realmuto","C",3,"141",665489,"Vladimir Guerrero","1B"
"4",4,718927,"143",592206,"Nick Castellanos","RF",4,"141",662139,"Daulton Varsho","LF"
"5",5,718927,"143",681082,"Bryson Stott","2B",5,"141",672386,"Alejandro Kirk","C"
"6",6,718927,"143",664761,"Alec Bohm","1B",6,"141",474832,"Brandon Belt","DH"
"7",7,718927,"143",595909,"Jake Cave","LF",7,"141",656305,"Matt Chapman","3B"
"8",8,718927,"143",624641,"Edmundo Sosa","3B",8,"141",593160,"Whit Merrifield","2B"
"9",9,718927,"143",669016,"Brandon Marsh","CF",9,"141",624415,"Cavan Biggio","RF"
"10",10,733679,"120",657041,"Lane Thomas","RF",1,"147",518934,"DJ LeMahieu","DH"
"11",11,733679,"120",608841,"Joey Meneses","DH",2,"147",592450,"Aaron Judge","CF"
"12",12,733679,"120",600869,"Jeimer Candelario","3B",3,"147",519203,"Anthony Rizzo","1B"
"13",13,733679,"120",642086,"Dominic Smith","1B",4,"147",518626,"Josh Donaldson","3B"
"14",14,733679,"120",660688,"Keibert Ruiz","C",5,"147",650402,"Gleyber Torres","2B"
"15",15,733679,"120",669743,"Alex Call","LF",6,"147",665828,"Oswaldo Cabrera","RF"
"16",16,733679,"120",671277,"Luis V Garcia","2B",7,"147",543305,"Aaron Hicks","LF"
"17",17,733679,"120",645302,"Victor Robles","CF",8,"147",624431,"Jose Trevino","C"
"18",18,733679,"120",682928,"CJ Abrams","SS",9,"147",683011,"Anthony Volpe","SS"
"19",19,718923,"134",665833,"Oneil Cruz","SS",1,"142",608336,"Joey Gallo","1B"
"20",20,718923,"134",668804,"Bryan Reynolds","LF",2,"142",621043,"Carlos Correa","SS"
"21",21,718923,"134",457705,"Andrew McCutchen","DH",3,"142",596146,"Max Kepler","RF"
"22",22,718923,"134",467793,"Carlos Santana","1B",4,"142",663616,"Trevor Larnach","LF"
"23",23,718923,"134",669261,"Jack Suwinski","CF",5,"142",571657,"Kyle Farmer","3B"
"24",24,718923,"134",663647,"Ke'Bryan Hayes","3B",6,"142",624503,"Nick Gordon","2B"
"25",25,718923,"134",666801,"Rodolfo Castro","2B",7,"142",456781,"Donovan Solano","DH"
"26",26,718923,"134",656582,"Connor Joe","RF",8,"142",680777,"Ryan Jeffers","C"
"27",27,718923,"134",595978,"Austin Hedges","C",9,"142",572191,"Michael Taylor","CF"
"28",28,718929,"111",657077,"Alex Verdugo","RF",1,"144",660670,"Ronald Acuna","RF"
"29",29,718929,"111",646240,"Rafael Devers","3B",2,"144",621566,"Matt Olson","1B"
"30",30,718929,"111",457759,"Justin Turner","DH",3,"144",663586,"Austin Riley","3B"
"31",31,718929,"111",807799,"Masataka Yoshida","LF",4,"144",542303,"Marcell Ozuna","LF"
"32",32,718929,"111",594807,"Adam Duvall","CF",5,"144",671739,"Michael Harris","CF"
"33",33,718929,"111",671213,"Triston Casas","1B",6,"144",645277,"Ozzie Albies","2B"
"34",34,718929,"111",624414,"Christian Arroyo","2B",7,"144",518595,"Travis d'Arnaud","C"
"35",35,718929,"111",624512,"Reese McGuire","C",8,"144",592696,"Eddie Rosario","DH"
"36",36,718929,"111",571771,"Kike Hernandez","SS",9,"144",606115,"Orlando Arcia","SS"
"37",37,719412,"140",543760,"Marcus Semien","2B",1,"118",677951,"Bobby Witt Jr.","SS"
"38",38,719412,"140",608369,"Corey Seager","SS",2,"118",614177,"Franmil Reyes","RF"
"39",39,719412,"140",663993,"Nathaniel Lowe","1B",3,"118",521692,"Salvador Perez","DH"
"40",40,719412,"140",666969,"Adolis Garcia","CF",4,"118",669004,"MJ Melendez","C"
"41",41,719412,"140",673962,"Josh Jung","3B",5,"118",641531,"Hunter Dozier","1B"
"42",42,719412,"140",641680,"Jonah Heim","C",6,"118",670032,"Nicky Lopez","3B"
"43",43,719412,"140",543257,"Robbie Grossman","RF",7,"118",622110,"Matt Duffy","2B"
"44",44,719412,"140",641598,"Mitch Garver","DH",8,"118",664728,"Kyle Isbel","LF"
"45",45,719412,"140",677649,"Ezequiel Duran","LF",9,"118",598265,"Jackie Bradley","CF"
"46",46,719545,"115",602074,"Yonathan Daza","CF",1,"158",670712,"Mike Brosseau","1B"
"47",47,719545,"115",453568,"Charlie Blackmon","DH",2,"158",608385,"Jesse Winker","RF"
"48",48,719545,"115",592178,"Kris Bryant","RF",3,"158",642715,"Willy Adames","SS"
"49",49,719545,"115",543068,"C.J. Cron","1B",4,"158",649966,"Luis Urias","3B"
"50",50,719545,"115",641857,"Ryan McMahon","2B",5,"158",572228,"Luke Voit","DH"
"51",51,719545,"115",660707,"Elehuris Montero","3B",6,"158",605170,"Victor Caratini","C"
"52",52,719545,"115",605612,"Harold Castro","LF",7,"158",680911,"Owen Miller","CF"
"53",53,719545,"115",553869,"Elias Diaz","C",8,"158",668930,"Brice Turang","2B"
"54",54,719545,"115",678662,"Ezequiel Tovar","SS",9,"158",694192,"Jackson Chourio","LF"
"55",55,719488,"112",663611,"Nick Madrigal","3B",1,"145",462101,"Elvis Andrus","2B"
"56",56,719488,"112",571466,"Tucker Barnhart","C",2,"145",663853,"Roman Gonzalez","RF"
"57",57,719488,"112",691718,"Pete Crow-Armstrong","CF",3,"145",683734,"Andrew Vaughn","1B"
"58",58,719488,"112",682634,"Kevin Alcantara","RF",4,"145",657757,"Gavin Sheets","DH"
"59",59,719488,"112",683357,"Owen Caissie","LF",5,"145",664874,"Seby Zavala","C"
"60",60,719488,"112",665804,"Miguel Amaya","DH",6,"145",693049,"Oscar Colas","CF"
"61",61,719488,"112",668664,"Chase Strumpf","2B",7,"145",665940,"Moises Castillo","SS"
"62",62,719488,"112",681230,"BJ Murray","1B",8,"145",687554,"DJ Gladney","LF"
"63",63,719488,"112",676679,"Luis Vazquez","SS",9,"145",695770,"Wes Kath","3B"
"64",64,719409,"109",668942,"Josh Rojas","3B",1,"114",680757,"Steven Kwan","LF"
"65",65,719409,"109",606466,"Ketel Marte","2B",2,"114",642708,"Amed Rosario","SS"
"66",66,719409,"109",641786,"Kyle Lewis","DH",3,"114",686823,"Will Brennan","RF"
"67",67,719409,"109",572233,"Christian Walker","1B",4,"114",605137,"Josh Bell","DH"
"68",68,719409,"109",682998,"Corbin Carroll","LF",5,"114",683172,"Joe Naranjo","1B"
"69",69,719409,"109",664983,"Jake McCarthy","RF",6,"114",672356,"Gabriel Arias","2B"
"70",70,719409,"109",672515,"Gabriel Moreno","C",7,"114",595956,"Cam Gallagher","C"
"71",71,719409,"109",677950,"Alek Thomas","CF",8,"114",664702,"Myles Straw","CF"
"72",72,719409,"109",672695,"Geraldo Perdomo","SS",9,"114",682657,"Angel Martinez","3B"
