"","game_pk","home.TeamID","home_p_id","home_p_name","away.TeamID","away_p_id","away_p_name"
"1",718927,"143",663559,"Bailey Falter","141",621244,"Jose Berrios"
"2",733679,"120",592866,"Trevor Williams","147",641482,"Nestor Cortes"
"3",718923,"134",670912,"Johan Oviedo","142",641816,"Tyler Mahle"
"4",718929,"111",676710,"Kutter Crawford","144",450203,"Charlie Morton"
"5",719412,"140",527048,"Martin Perez","118",663903,"Brady Singer"
"6",719545,"115",663372,"Ryan Feltner","158",642547,"Freddy Peralta"
"7",719488,"112",592767,"Drew Smyly","145",656629,"Michael Kopech"
"8",719409,"109",669194,"Ryne Nelson","114",615698,"Cal Quantrill"
"9",719408,"108",672282,"Reid Detmers","119",686752,"Ryan Pepiot"
